Episode,Step,Avg_Success,Avg_Reward,Avg_Cost
0,108,0,-94.12912013754249,0
1,107,0,-94.51556855067611,0
2,108,0,-95.69208430498838,0
3,95,0,-99.14542348124087,0
4,97,0,-97.33187824338674,0
5,99,0,-99.79945342304806,0
6,100,0,-100.1144212814314,0
7,100,0,-100.79694716306403,0
8,101,0,-99.84603790628414,0
9,95,10,-83.14007848259061,10
10,91,9,-85.14238084937361,9
11,93,8,-87.79881325845297,8
12,91,15,-77.83920777775347,15
13,93,14,-79.93889891169965,14
14,94,13,-81.780836421748,13
15,94,12,-83.0259159001289,12
16,95,11,-84.61062834181769,11
17,96,11,-85.21159621359159,11
18,96,10,-85.51622231039954,10
19,93,15,-77.8956549054943,15
20,94,14,-79.08590063816379,14
21,95,13,-80.14672555241056,13
22,92,17,-73.91012309613112,17
23,90,16,-74.71897614537738,16
24,91,16,-75.40742064081132,16
25,90,19,-70.90190346431561,19
26,91,18,-72.44175356467841,18
27,91,17,-73.22363648370707,17
28,92,17,-73.83771266730437,17
29,92,16,-75.13741261865944,16
30,91,16,-75.8792618428387,16
31,92,15,-76.29853276727954,15
32,92,15,-76.80872536591734,15
